machine_id,site_session_id,domain_id,event_date,event_time,prod_category_id,prod_name,prod_qty,prod_totprice,basket_tot,hoh_most_education,census_region,household_size,hoh_oldest_age,household_income,children,racial_background,connection_speed,country_of_origin,zip_code,domain_name
13512886,3669584318587,9530952911301729568,20110720,2:03:02,45,CAR - COMPACT CAR JUL 28 2011~JUL 31 2011,3,147.00,147.00,99,3,4,8,7,0,1,1,0,38016,expedia.com
49645796,3355708493805,17475197073474272331,20110228,21:16:51,43,FLIGHT - COLUMBUS PORT COLUMBUS INTERNATIONAL AIRPORT (CMH)~NEWARK LIBERTY INTERNATIONAL AIRPORT (EWR) FRI MAR 11,1,278.00,278.00,99,2,3,9,2,1,1,1,0,43224,travelocity.com
58622574,3360275042310,1875457313788268580,20110325,15:58:34,43,FLIGHT - N/A,2,701.96,544.76,99,3,3,9,7,0,1,1,0,32407,delta.com
59850911,3815456641153,1875457313788268580,20110726,21:31:36,43,FLIGHT - N/A,1,451.60,465.60,99,3,5,7,7,1,1,1,0,29909,delta.com
59850911,71716842443028,1875457313788268580,20111220,23:29:16,43,FLIGHT - N/A,1,640.93,662.33,99,3,5,7,7,1,1,1,0,29909,delta.com
60545661,70101315948828,17591158128419228596,20111228,1:36:24,99,ORIGINAL NES SYSTEM N/A,1,69.99,69.99,99,4,5,4,6,1,1,1,1,58503,google.com
61433282,3417700634642,1875457313788268580,20110406,0:06:56,43,FLIGHT - N/A,1,249.30,270.70,99,4,1,9,3,0,1,1,0,95825,delta.com
61538672,3636968951895,7101213156062330967,20110614,15:09:30,45,"CAR - ECONOMY CAR WED, JUN 15~THU, JUN 16",1,24.29,24.29,99,1,6,2,1,1,1,1,1,08244,orbitz.com
61538672,3636968951895,7101213156062330967,20110614,15:09:30,45,"CAR - ECONOMY CAR TUE, JUN 14~THU, JUN 16",2,48.58,48.58,99,1,6,2,1,1,1,1,1,08244,orbitz.com
61538672,66573285986527,17475197073474272331,20111028,14:34:54,45,CAR - ECONOMY THU JAN 12~SUN JAN 22,10,0.00,0.00,99,1,6,2,1,1,1,1,1,08244,travelocity.com
61538672,66573285986527,17475197073474272331,20111028,14:34:54,45,CAR - COMPACT THU JAN 12~SUN JAN 22,10,274.30,274.30,99,1,6,2,1,1,1,1,1,08244,travelocity.com
61538672,66573285986527,17475197073474272331,20111028,14:34:54,45,CAR - COMPACT THU JAN 12~SUN JAN 22,10,255.50,255.50,99,1,6,2,1,1,1,1,1,08244,travelocity.com
61755561,3437856034783,1037677886457106237,20110214,14:58:08,43,FLIGHT - ADULT MAR~22,1,110.70,153.50,99,4,2,7,6,0,1,0,0,85297,southwest.com
61755561,3437856034783,1037677886457106237,20110214,14:58:08,43,FLIGHT - ADULT MAR~25,1,173.95,259.55,99,4,2,7,6,0,1,0,0,85297,southwest.com
61755561,3712680005734,1037677886457106237,20110629,14:48:49,43,FLIGHT - ADULT N/A,1,241.86,327.46,99,4,2,7,6,0,1,0,0,85297,southwest.com
61755561,66629769171170,1037677886457106237,20111031,20:47:57,45,"CAR - MID-SIZE CAR FRIDAY, NOVEMBER 4, 2011~MONDAY, NOVEMBER 7, 2011",3,69.12,99.00,99,4,2,7,6,0,1,0,0,85297,southwest.com
61755561,66629769171170,1037677886457106237,20111031,20:47:57,43,UNLIMITED MILEAGE N/A,1,29.88,99.00,99,4,2,7,6,0,1,0,0,85297,southwest.com
61876734,3377423388700,10326615452578885078,20110416,15:15:34,43,"ADULT SEP 06, 2011",2,416.00,416.00,99,3,5,10,3,1,1,1,0,75070,aa.com
61876734,3401347239943,10326615452578885078,20110326,17:45:44,43,"ADULT MAY 02, 2011",1,208.00,208.00,99,3,5,10,3,1,1,1,0,75070,aa.com
61876734,3439454392305,10326615452578885078,20110304,13:00:18,43,"ADULT JUN 12, 2011",1,353.00,353.00,99,3,5,10,3,1,1,1,0,75070,aa.com
61876734,3475495325658,10326615452578885078,20110209,16:16:05,43,"ADULT APR 03, 2011",1,264.00,264.00,99,3,5,10,3,1,1,1,0,75070,aa.com
61876734,3486765944816,10326615452578885078,20110303,0:55:36,43,"ADULT MAY 30, 2011",1,274.00,274.00,99,3,5,10,3,1,1,1,0,75070,aa.com
61876734,3486765944816,10326615452578885078,20110303,0:55:36,43,"ADULT MAY 30, 2011",1,241.00,241.00,99,3,5,10,3,1,1,1,0,75070,aa.com
61876734,3755613753438,10326615452578885078,20110621,23:14:19,43,"ADULT OCT 11, 2011",1,218.00,218.00,99,3,5,10,3,1,1,1,0,75070,aa.com
61876734,3797188546677,10326615452578885078,20110714,0:44:57,43,"ADULT SEP 06, 2011",2,502.00,502.00,99,3,5,10,3,1,1,1,0,75070,aa.com
61876734,3977346158748,10326615452578885078,20110822,20:16:06,43,"ADULT SEP 15, 2011",1,150.00,150.00,99,3,5,10,3,1,1,1,0,75070,aa.com
61876734,68669773582558,1037677886457106237,20111027,13:16:33,43,FLIGHT - ADULT N/A,2,627.60,742.80,99,3,5,10,3,1,1,1,0,75070,southwest.com
61950006,3402309767147,17805502262469192295,20110226,22:11:39,43,"SEATTLE, WA~BOSTON, MA MONDAY, FEBRUARY 28, 2011~THURSDAY, MARCH 17, 2011",1,417.68,417.68,99,4,2,10,7,0,1,1,0,98290,usairways.com
61950006,3968356585632,17475197073474272331,20110826,2:54:18,43,FLIGHT - SEATTLE/TACOMA INTERNATIONAL AIRPORT (SEA)~BOSTON LOGAN INTERNATIONAL AIRPORT (BOS) TUE AUG 30,1,312.00,336.95,99,4,2,10,7,0,1,1,0,98290,travelocity.com
62508680,3482970689594,9530952911301729568,20110516,18:28:31,43,FLIGHT - SAN FRANCISCO TO DALLAS WED MAY 25 2011~FRI MAY 27 2011,1,278.00,278.00,99,4,1,1,1,0,1,1,0,95503,expedia.com
62508680,3704548167798,9530952911301729568,20110715,1:14:17,43,FLIGHT - SAN FRANCISCO TO LAS VEGAS MON JUL 25 2011~THU JUL 28 2011,1,320.00,320.00,99,4,1,1,1,0,1,1,0,95503,expedia.com
62549967,3445874167881,9530952911301729568,20110531,21:25:13,43,FLIGHT - ATLANTA TO NEW YORK THU JUN 23 2011,1,109.01,109.01,99,3,6,8,5,1,1,1,1,30044,expedia.com
62643307,3577227448294,7101213156062330967,20110221,0:17:19,45,"CAR - MINIVAN - DODGE GRANDCARAVAN(OR SIMILAR) SAT, JUN 18~SAT, JUN 25~",7,0.00,2538.00,99,2,2,11,6,1,1,1,0,52730,orbitz.com
62643307,3577227448294,7101213156062330967,20110221,0:17:19,46,PACKAGE N/A,4,2538.00,2538.00,99,2,2,11,6,1,1,1,0,52730,orbitz.com
62643307,3577227448294,7101213156062330967,20110221,0:17:19,43,"FLIGHT - MOLINE, IL TO SEATTLE, WA SATURDAY, JUNE 18~SATURDAY, JUNE 25",1,0.00,2538.00,99,2,2,11,6,1,1,1,0,52730,orbitz.com
62678486,3634582196321,9530952911301729568,20110624,19:35:06,43,FLIGHT - COLLEGE STATION TO DENVER THU JUL 21 2011~SUN JUL 24 2011,1,453.02,453.02,99,4,1,10,7,0,1,1,0,82801,expedia.com
63761469,70230764228837,10326615452578885078,20111103,17:40:49,43,ADULT N/A,1,498.20,498.20,99,3,6,2,3,1,2,1,0,34950,aa.com
64092088,3644181975122,1875457313788268580,20110609,16:51:14,43,FLIGHT - N/A,2,749.76,792.56,99,2,5,9,7,1,1,1,0,48412,delta.com
64194930,3449150902244,17475197073474272331,20110219,22:16:27,43,FLIGHT - LOS ANGELES INTERNATIONAL AIRPORT (LAX)~GUADALAJARA (GDL) SUN JUN 12,2,411.20,411.20,99,4,5,7,6,1,5,1,0,91360,travelocity.com
64543161,3505808019433,1037677886457106237,20110224,0:00:23,43,FLIGHT - ADULT APR~15,1,221.40,307.00,99,3,3,2,6,1,1,1,1,78681,southwest.com
64720467,3400707477582,9859212299277700681,20110605,17:47:59,43,TICKET N/A,1,467.40,976.10,99,4,1,8,5,0,3,1,0,94402,alaskaair.com
64720467,3468216963099,9859212299277700681,20110415,4:16:18,43,"TICKET TUE, APR 19",2,308.60,308.60,99,4,1,8,5,0,3,1,0,94402,alaskaair.com
64720467,3751723667558,9859212299277700681,20110629,5:27:18,43,"TICKET , JUN 29",1,869.00,1795.70,99,4,1,8,5,0,3,1,0,94402,alaskaair.com
65034386,3503429062644,9530952911301729568,20110307,1:46:10,43,FLIGHT - HARTFORD TO ORLANDO THU MAY 19 2011~MON MAY 23 2011,2,376.00,376.00,99,1,2,3,2,1,5,1,1,18704,expedia.com
65034386,3626945679352,9530952911301729568,20110311,4:02:40,44,HOTEL - IMPERIAL SWAN HOTEL & SUITES THU 5/19/2011~ SAT 5/21/2011,2,80.00,80.00,99,1,2,3,2,1,5,1,1,18704,expedia.com
