,Chemical,Url,Dates,Uses
0,Abiraterone acetate,https://oehha.ca.gov/chemicals/abiraterone-acetate,"['04/08/2016', '04/08/2016', '04/08/2016']",A CYP17 inhibitor indicated in combination with prednisone for the treatment of patients with metastatic castration-resistant prostate cancer.
1,Acephate,https://oehha.ca.gov/chemicals/acephate,[],Organophosphate foliar insecticide
2,Acetaldehyde,https://oehha.ca.gov/chemicals/acetaldehyde,['04/01/1988'],"Chemical intermediate in the production of perfumes, resins, and dyes; fruit and fish preservative, flavoring agent, denaturant for alcohol; solvent; component of tobacco smoke"
3,Acetamide,https://oehha.ca.gov/chemicals/acetamide,['01/01/1990'],"Plasticizer, industrial solvent; component of tobacco smoke"
4,Acetaminophen,https://oehha.ca.gov/chemicals/acetominophen,[],Analgesic and antipyretic agent used for the relief of fever as well as aches and pains associated with many conditions
5,Acetazolamide,https://oehha.ca.gov/chemicals/acetazolamide,['08/20/1999'],[]
6,Acetochlor,https://oehha.ca.gov/chemicals/acetochlor,['01/01/1989'],Herbicide
7,Acetohydroxamic Acid,https://oehha.ca.gov/chemicals/acetohydroxamic-acid,['04/01/1990'],Medicine (treatment for urinary tract infections)
8,Acetoxime,https://oehha.ca.gov/chemicals/acetoxime,[],Corrosion inhibitor; industrial intermediate
9,2-Acetylaminofluorene,https://oehha.ca.gov/chemicals/2-acetylaminofluorene,['07/01/1987'],Research chemical (induces cancer)
10,Acifluorfen Sodium,https://oehha.ca.gov/chemicals/acifluorfen-sodium,['01/01/1990'],[]
11,Acrolein,https://oehha.ca.gov/chemicals/acrolein,[],"Biocide: aquatic herbicide, fumigant, microbiocide, molluscide (considered an alternative to methyl bromide); preparation of biological specimens; component of tobacco smoke"
12,Acrylamide,https://oehha.ca.gov/chemicals/acrylamide,"['01/01/1990', '02/25/2011', '02/25/2011']","Precursor to polyacrylamides used in wastewater treatment, gel electrophoresis, ore processing; chemical intermediate in dyes and fabrics; decay product of polyacrylamide in commercial herbicides; component of tobacco smoke; contaminant that forms during the baking, frying or roasting of certain plant-based foods, particularly starchy foods."
13,Acrylic Acid,https://oehha.ca.gov/chemicals/acrylic-acid,[],"Manufacture of plastics, polymers, paint, leather, and paper coatings; chemical intermediate in the production of acrylic esters and resins, detergents, and water treatment chemicals; component of tobacco smoke"
14,Acrylonitrile,https://oehha.ca.gov/chemicals/acrylonitrile,['07/01/1987'],"Production of acrylic and modacrylic fibers; chemical intermediate in synthesis of antioxidants, pharmaceuticals, dyes, and surface-active agents; component of emissions, auto exhaust, and tobacco smoke"
15,Actinomycin D,https://oehha.ca.gov/chemicals/actinomycin-d,"['02/22/2013', '10/01/1992']",Medicine (antineoplastic)
16,Aflatoxins,https://oehha.ca.gov/chemicals/aflatoxins,['01/01/1988'],Naturally occurring mycotoxins produced by the fungi Aspergillus flavus and Aspergillus parasiticus; aflatoxin metabolites may be found in the milk of animals fed contaminated feed
17,Alachlor,https://oehha.ca.gov/chemicals/alachlor,['01/01/1989'],Herbicide
18,Albuterol,https://oehha.ca.gov/chemicals/albuterol,[],"Medication, as a bronchodilator or tocolytic"
