,total_trans_mean,Flights Mean,Rental Car Mean,Hotel Mean
13512886,0.00011852554225435582,0.0,0.0,1.0
49645796,0.00011852554225435582,1.0,0.0,0.0
58622574,0.00011852554225435582,1.0,0.0,0.0
59850911,0.00023705108450871164,1.0,0.0,0.0
60545661,0.00011852554225435582,0.0,0.0,0.0
61433282,0.00011852554225435582,1.0,0.0,0.0
61538672,0.0005926277112717791,0.0,0.0,1.0
61755561,0.0005926277112717791,0.8,0.0,0.2
61876734,0.0011852554225435582,1.0,0.0,0.0
61950006,0.00023705108450871164,1.0,0.0,0.0
62508680,0.00023705108450871164,1.0,0.0,0.0
62549967,0.00011852554225435582,1.0,0.0,0.0
62643307,0.0003555766267630674,0.3333333333333333,0.0,0.3333333333333333
62678486,0.00011852554225435582,1.0,0.0,0.0
63761469,0.00011852554225435582,1.0,0.0,0.0
64092088,0.00011852554225435582,1.0,0.0,0.0
64194930,0.00011852554225435582,1.0,0.0,0.0
64543161,0.00011852554225435582,1.0,0.0,0.0
64720467,0.0003555766267630674,1.0,0.0,0.0
65034386,0.00023705108450871164,0.5,0.5,0.0
65118059,0.00011852554225435582,1.0,0.0,0.0
65198554,0.00011852554225435582,1.0,0.0,0.0
65347738,0.00011852554225435582,1.0,0.0,0.0
65524977,0.00011852554225435582,1.0,0.0,0.0
65556861,0.00011852554225435582,1.0,0.0,0.0
65754404,0.0004741021690174233,1.0,0.0,0.0
65905823,0.00011852554225435582,0.0,1.0,0.0
66202716,0.00023705108450871164,0.5,0.0,0.0
66430304,0.00011852554225435582,0.0,1.0,0.0
66436474,0.00011852554225435582,1.0,0.0,0.0
66687575,0.00023705108450871164,1.0,0.0,0.0
66742521,0.00011852554225435582,1.0,0.0,0.0
66771622,0.00011852554225435582,1.0,0.0,0.0
66857410,0.00011852554225435582,0.0,1.0,0.0
66938494,0.00011852554225435582,0.0,0.0,0.0
67062476,0.00011852554225435582,1.0,0.0,0.0
67182279,0.00011852554225435582,0.0,1.0,0.0
67309947,0.0003555766267630674,1.0,0.0,0.0
67317660,0.00023705108450871164,1.0,0.0,0.0
67737680,0.00011852554225435582,1.0,0.0,0.0
67768368,0.00023705108450871164,1.0,0.0,0.0
67858366,0.00011852554225435582,1.0,0.0,0.0
67971323,0.00011852554225435582,1.0,0.0,0.0
68212888,0.00011852554225435582,1.0,0.0,0.0
68504352,0.00023705108450871164,1.0,0.0,0.0
68655173,0.00011852554225435582,1.0,0.0,0.0
68718269,0.0023705108450871163,0.75,0.1,0.15
68733787,0.00023705108450871164,1.0,0.0,0.0
68774768,0.0005926277112717791,0.8,0.0,0.0
69095790,0.00011852554225435582,1.0,0.0,0.0
69177693,0.00011852554225435582,1.0,0.0,0.0
69185754,0.00011852554225435582,0.0,1.0,0.0
69256980,0.00023705108450871164,1.0,0.0,0.0
69332731,0.00011852554225435582,1.0,0.0,0.0
69458990,0.00011852554225435582,1.0,0.0,0.0
69524342,0.0004741021690174233,1.0,0.0,0.0
69562521,0.00011852554225435582,1.0,0.0,0.0
69654174,0.00011852554225435582,0.0,1.0,0.0
69713799,0.00011852554225435582,1.0,0.0,0.0
69717508,0.00011852554225435582,1.0,0.0,0.0
69721699,0.00023705108450871164,1.0,0.0,0.0
69821477,0.00023705108450871164,1.0,0.0,0.0
69920150,0.0007111532535261348,1.0,0.0,0.0
69945518,0.00011852554225435582,0.0,1.0,0.0
70051367,0.00011852554225435582,1.0,0.0,0.0
70124482,0.00011852554225435582,1.0,0.0,0.0
70128256,0.00023705108450871164,1.0,0.0,0.0
70259171,0.00011852554225435582,0.0,1.0,0.0
70299106,0.00011852554225435582,1.0,0.0,0.0
70310444,0.00023705108450871164,0.5,0.5,0.0
70311582,0.00011852554225435582,0.0,1.0,0.0
70325615,0.00011852554225435582,1.0,0.0,0.0
70385962,0.00011852554225435582,1.0,0.0,0.0
70393167,0.00011852554225435582,1.0,0.0,0.0
70402392,0.0008296787957804907,0.7142857142857143,0.0,0.2857142857142857
70408307,0.00011852554225435582,1.0,0.0,0.0
70602520,0.00011852554225435582,0.0,1.0,0.0
70621379,0.00023705108450871164,1.0,0.0,0.0
70829094,0.00023705108450871164,1.0,0.0,0.0
70829660,0.00011852554225435582,0.0,1.0,0.0
70839368,0.00011852554225435582,1.0,0.0,0.0
70841669,0.0003555766267630674,0.3333333333333333,0.0,0.6666666666666666
70883550,0.00011852554225435582,0.0,1.0,0.0
70888970,0.00023705108450871164,0.5,0.0,0.0
70892041,0.00011852554225435582,0.0,1.0,0.0
70892489,0.00011852554225435582,0.0,1.0,0.0
70893877,0.00011852554225435582,1.0,0.0,0.0
70897556,0.0004741021690174233,1.0,0.0,0.0
70933130,0.00011852554225435582,1.0,0.0,0.0
70933391,0.00011852554225435582,1.0,0.0,0.0
70942071,0.00023705108450871164,0.5,0.5,0.0
70945589,0.00011852554225435582,0.0,0.0,0.0
70949591,0.00023705108450871164,1.0,0.0,0.0
70955696,0.00023705108450871164,0.0,1.0,0.0
70961025,0.00023705108450871164,1.0,0.0,0.0
70961053,0.0022519853028327604,0.7368421052631579,0.0,0.2631578947368421
70961114,0.00011852554225435582,1.0,0.0,0.0
71043247,0.00011852554225435582,1.0,0.0,0.0
71047476,0.0003555766267630674,1.0,0.0,0.0
71049570,0.00023705108450871164,0.0,1.0,0.0
71062767,0.00011852554225435582,1.0,0.0,0.0
71154090,0.00011852554225435582,0.0,1.0,0.0
71173330,0.00023705108450871164,1.0,0.0,0.0
71173631,0.0003555766267630674,0.6666666666666666,0.3333333333333333,0.0
71249497,0.00011852554225435582,1.0,0.0,0.0
71278533,0.0011852554225435582,0.6,0.1,0.2
71280956,0.0015408320493066256,1.0,0.0,0.0
71280995,0.00023705108450871164,1.0,0.0,0.0
71346634,0.00011852554225435582,1.0,0.0,0.0
71349972,0.00011852554225435582,1.0,0.0,0.0
71371535,0.0003555766267630674,1.0,0.0,0.0
71426305,0.00011852554225435582,1.0,0.0,0.0
71513438,0.00023705108450871164,0.0,0.0,0.0
71520305,0.00011852554225435582,1.0,0.0,0.0
71535189,0.00011852554225435582,1.0,0.0,0.0
71540432,0.00011852554225435582,1.0,0.0,0.0
71544838,0.00023705108450871164,0.0,0.0,0.0
71547446,0.00011852554225435582,0.0,1.0,0.0
71630615,0.00011852554225435582,1.0,0.0,0.0
71675486,0.00011852554225435582,1.0,0.0,0.0
71675923,0.00023705108450871164,0.5,0.0,0.5
71677501,0.00023705108450871164,0.5,0.5,0.0
71680393,0.00023705108450871164,1.0,0.0,0.0
71696240,0.00023705108450871164,1.0,0.0,0.0
71735604,0.00011852554225435582,1.0,0.0,0.0
71740249,0.00011852554225435582,1.0,0.0,0.0
71762967,0.00023705108450871164,1.0,0.0,0.0
71765578,0.00011852554225435582,1.0,0.0,0.0
71782265,0.00011852554225435582,1.0,0.0,0.0
71786769,0.00023705108450871164,1.0,0.0,0.0
71788289,0.00011852554225435582,0.0,0.0,0.0
71888034,0.0008296787957804907,0.2857142857142857,0.7142857142857143,0.0
71891455,0.00011852554225435582,1.0,0.0,0.0
71894634,0.00011852554225435582,1.0,0.0,0.0
71910096,0.00011852554225435582,1.0,0.0,0.0
71911435,0.0005926277112717791,1.0,0.0,0.0
71912231,0.0007111532535261348,1.0,0.0,0.0
71988652,0.00023705108450871164,1.0,0.0,0.0
71989639,0.00011852554225435582,1.0,0.0,0.0
71993324,0.0010667298802892024,1.0,0.0,0.0
72009187,0.00023705108450871164,1.0,0.0,0.0
